dataset,dataset_label,embedding_source,embedding_dim,metric_name,metric_scope,value,ci_low,ci_high,ci_level,ci_method,higher_is_better,n_structures,n_oxide,n_nitride,vector_space,raw_space_primary,projected_space,preprocessing,parameters,scenario,source_seed,majority_label_baseline
balanced_pool_set,Balanced train+val pool,pre_head,256,silhouette_score,oxide,0.20422843175689034,0.19611911465002677,0.21197737261747557,0.94999999999999996,bootstrap_over_family_per_structure_silhouette_values,True,4036,1990,2046,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}",pure_oxide_filtered,1042,0.50693756194251738
balanced_pool_set,Balanced train+val pool,pre_head,256,silhouette_score,nitride,0.23984427672981556,0.23478416439336072,0.24464621308423881,0.94999999999999996,bootstrap_over_family_per_structure_silhouette_values,True,4036,1990,2046,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}",pure_oxide_filtered,1042,0.50693756194251738
balanced_pool_set,Balanced train+val pool,pre_head,256,davies_bouldin_index,overall_family_labels,1.6101280148248822,1.5688224374004807,1.6543030856121204,0.94999999999999996,stratified_bootstrap_recomputed_index,False,4036,1990,2046,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}",pure_oxide_filtered,1042,0.50693756194251738
balanced_pool_set,Balanced train+val pool,pre_head,256,knn_family_purity,overall_family_labels,0.97626362735381578,0.97302485959696072,0.97945201519656422,0.94999999999999996,stratified_bootstrap_over_per_structure_purity_values,True,4036,1990,2046,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}",pure_oxide_filtered,1042,0.50693756194251738
balanced_pool_set,Balanced train+val pool,pre_head,256,knn_family_purity,oxide,0.97450586264656613,0.96931155778894473,0.97916331658291456,0.94999999999999996,bootstrap_over_family_per_structure_purity_values,True,4036,1990,2046,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}",pure_oxide_filtered,1042,0.50693756194251738
balanced_pool_set,Balanced train+val pool,pre_head,256,knn_family_purity,nitride,0.97797328119908766,0.97324861518409911,0.98208048224177258,0.94999999999999996,bootstrap_over_family_per_structure_purity_values,True,4036,1990,2046,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}",pure_oxide_filtered,1042,0.50693756194251738
balanced_pool_set,Balanced train+val pool,pre_head,256,logistic_regression_family_auc,overall_family_labels,0.99990298511128473,0.99979879234884106,0.99997544540886252,0.94999999999999996,stratified_bootstrap_over_cross_validated_out_of_fold_scores,True,4036,1990,2046,raw_256d_embedding_vectors,True,none,fold_local_standard_scaler_no_dimensionality_reduction,"{""class_weight"": ""balanced"", ""cv_folds"": 5, ""positive_label"": ""nitride"", ""solver"": ""lbfgs""}",pure_oxide_filtered,1042,0.50693756194251738
balanced_pool_set,Balanced train+val pool,last_alignn_pool,256,silhouette_score,overall_family_labels,0.20767994650541158,0.20403045199461689,0.21140657861943665,0.94999999999999996,stratified_bootstrap_over_per_structure_silhouette_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}",inclusive_baseline_recomputed,1043,0.5
balanced_pool_set,Balanced train+val pool,last_alignn_pool,256,silhouette_score,oxide,0.25999384786940222,0.25385091857258091,0.26584921018542373,0.94999999999999996,bootstrap_over_family_per_structure_silhouette_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}",inclusive_baseline_recomputed,1043,0.5
balanced_pool_set,Balanced train+val pool,last_alignn_pool,256,silhouette_score,nitride,0.15536604514142094,0.1509373218891838,0.15953797025038838,0.94999999999999996,bootstrap_over_family_per_structure_silhouette_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}",inclusive_baseline_recomputed,1043,0.5
balanced_pool_set,Balanced train+val pool,last_alignn_pool,256,davies_bouldin_index,overall_family_labels,1.7856007148087834,1.7431726951044915,1.8285506527016642,0.94999999999999996,stratified_bootstrap_recomputed_index,False,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}",inclusive_baseline_recomputed,1043,0.5
balanced_pool_set,Balanced train+val pool,last_alignn_pool,256,knn_family_purity,overall_family_labels,0.97670250896057353,0.97372026718800919,0.97953812316715538,0.94999999999999996,stratified_bootstrap_over_per_structure_purity_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}",inclusive_baseline_recomputed,1043,0.5
balanced_pool_set,Balanced train+val pool,last_alignn_pool,256,knn_family_purity,oxide,0.97520364939719772,0.96972955360052127,0.98012381883349631,0.94999999999999996,bootstrap_over_family_per_structure_purity_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}",inclusive_baseline_recomputed,1043,0.5
balanced_pool_set,Balanced train+val pool,last_alignn_pool,256,knn_family_purity,nitride,0.97820136852394923,0.97464890843923091,0.98146057347670268,0.94999999999999996,bootstrap_over_family_per_structure_purity_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}",inclusive_baseline_recomputed,1043,0.5
